"name","median_t","t_quant_2.5","t_quant_97.5","median_wide","wide_quant_2.5","wide_quant_97.5","median_body","body_quant_2.5","body_quant_97.5","gender","num_matches","num_serves"
"DE.GALAN",0.492153837260942,0.430080788579965,0.556027592412799,0.435437873710109,0.372649846647073,0.496933237718609,0.0697224349510758,0.0409162075268458,0.112221550672292,"Men",1,120
"E.GERASIMOV",0.451182350436605,0.386716095902491,0.517053795290941,0.450923547620404,0.387086025743702,0.519932311917891,0.0950042007811735,0.0561550825374084,0.147308364741024,"Men",1,103
"F.FOGNINI",0.40377152295023,0.347364352390677,0.461133970180073,0.420843875049719,0.364630665686101,0.475162626569593,0.17568706351135,0.128752149949762,0.229767612756568,"Men",2,181
"F.KRAJINOVIC",0.43478447400026,0.376214233047792,0.499426877371688,0.406975214755142,0.348106498679511,0.464194524517466,0.155638461393315,0.107857510249104,0.214759666662245,"Men",1,130
"G.DIMITROV",0.410066334379997,0.346500577648897,0.469928660799593,0.455850284973346,0.398571506269193,0.520117019007456,0.131480575037231,0.0888107092038245,0.183529589777207,"Men",1,134
"G.MONFILS",0.417158936996178,0.382004951704869,0.453006343931669,0.430338822197933,0.396510085305921,0.464298204627282,0.151716844525385,0.123748737556223,0.182284831280433,"Men",5,597
"G.SIMON",0.431462177373134,0.381740491259605,0.482848172190198,0.458042184263814,0.407041173117476,0.508208896575003,0.108945756526478,0.0770562610048278,0.147270691049651,"Men",1,220
"H.GASTON",0.43399227867973,0.392181081417847,0.475326829900616,0.421657725520256,0.380301451744444,0.461345514826836,0.144054853321076,0.115043142262225,0.1771910803689,"Men",2,430
"H.LAAKSONEN",0.43935810999336,0.372747701384472,0.507460046849158,0.409638936414212,0.342202336892927,0.474660488701067,0.149780469652637,0.101515048825403,0.209061570373072,"Men",1,112
"J.CHARDY",0.379825664234246,0.331880421291178,0.42681263563609,0.386987780363171,0.337801268161987,0.439059362817557,0.231843920112776,0.185044567706921,0.286154845491533,"Men",1,232
"J.DELPOTRO",0.514276304789481,0.4617204411663,0.567769205686534,0.347271696460214,0.298030542278664,0.39709868718279,0.137098587019428,0.102449083403007,0.175896650001222,"Men",2,275
"J.LONDERO",0.447570922763376,0.381830006032184,0.517955917743501,0.416942352442408,0.355213731962068,0.481323917086262,0.133018139325495,0.0838999391814248,0.193715490886242,"Men",1,94
"J.MILLMAN",0.339788377648836,0.293802316328216,0.389341744412658,0.387282233208175,0.341523781946149,0.436522460112677,0.27134775580858,0.221726850522382,0.321446362025194,"Men",1,242
"J.MUNAR",0.375109698593092,0.321361401671627,0.430607764805769,0.457288828560072,0.402878944455814,0.513786770311692,0.165501630911701,0.122196928991503,0.220536111444005,"Men",1,158
"J.RODIONOV",0.410789770740036,0.359340135023547,0.463986838693887,0.43073759673716,0.379407484592174,0.483118518485818,0.156303761039467,0.116221874445089,0.203415720966659,"Men",1,220
"J.SINNER",0.373960493281121,0.335551701676049,0.415088568082976,0.393687149594581,0.35423900885679,0.434901314094454,0.231714477399734,0.19329948131713,0.270693078601242,"Men",3,396
"J.SOCK",0.385948490153418,0.325557337749729,0.449701506745739,0.482826266174729,0.420651096328924,0.550197020950392,0.128794194730241,0.0846254293542971,0.183995017612202,"Men",1,131
"J.STRUFF",0.410296263501451,0.345755130469933,0.479749403536043,0.390106822349637,0.327192048114395,0.453173375932579,0.196951031499307,0.135597750320173,0.270906489787223,"Men",1,96
"J.TSONGA",0.40667601832826,0.361522420161125,0.45183142643857,0.431800361221878,0.388259586094267,0.475983704001697,0.161082260778954,0.125730996956564,0.200958819579825,"Men",2,306
"K.KHACHANOV",0.456038197088754,0.414308820919382,0.499682634297853,0.381474108774997,0.339137504580496,0.42197400299857,0.162116061292434,0.130355540220566,0.198190026775196,"Men",3,407
"K.NISHIKORI",0.393772034722295,0.357676120443041,0.429556576376328,0.406907196223648,0.372316917794357,0.441026359069429,0.198946375049867,0.169588940539929,0.229787539031803,"Men",4,572
"L.HARRIS",0.377609187632043,0.321083328523639,0.435684414751895,0.436894887389728,0.381112045664444,0.494694377355097,0.183127991571128,0.132758108243237,0.243166981357286,"Men",1,150
"L.MAYER",0.348236328675654,0.280574297694587,0.419928501261754,0.30884703090168,0.24596638404835,0.375049512757387,0.341245752627584,0.261131046204901,0.431012639892843,"Men",1,97
"L.POUILLE",0.437337388665633,0.393222037615322,0.483321135547633,0.453206516806831,0.409299568817607,0.496615891563786,0.108237703594505,0.0793241897380841,0.143041001876953,"Men",2,341
"L.SONEGO",0.344742079096195,0.295901203679501,0.394193009612347,0.428689089056301,0.376227650778467,0.484127865990988,0.225518712493847,0.177737139779354,0.279495491013014,"Men",2,234
"M.BERRETTINI",0.428067460546194,0.384227460963218,0.472308231260101,0.404094497462178,0.35963720209421,0.447019651740693,0.167149165119392,0.133901580952373,0.20677948352985,"Men",3,351
"M.CECCHINATO",0.480638481017313,0.419787735336626,0.544496271466204,0.408595226804824,0.349863985974693,0.4645722562677,0.108626150281985,0.0712090228682153,0.158352548086848,"Men",1,126
"M.CILIC",0.422116109569162,0.36368421229747,0.479591458598582,0.474271476527307,0.412986334557219,0.538450068456574,0.102701173011854,0.0624377936265348,0.15401487558214,"Men",1,120
"M.FUCSOVICS",0.41765676196036,0.378853181750999,0.456590506780441,0.407900738409896,0.368548892750594,0.448112311746661,0.173878850523188,0.141226775193198,0.21230172834062,"Men",2,395
"M.KLIZAN",0.44668521110735,0.39328187834991,0.499309481553542,0.470338064962414,0.419852099007266,0.52788158314494,0.0819975414795848,0.0529540613641999,0.117011144038261,"Men",1,206
"M.MARTERER",0.404375936410263,0.33881398656063,0.468285267461376,0.457439618057237,0.397561182509007,0.527531311508954,0.134985880989672,0.0887958656029769,0.195414964035785,"Men",1,100
"M.MCDONALD",0.458790776644121,0.389044882971997,0.535440287866126,0.41413184802104,0.347001703615908,0.482227568946797,0.124318534852502,0.0749126993434974,0.190635371390766,"Men",1,72
"M.YMER",0.35563426226631,0.289736271059228,0.424120292945069,0.321441075916483,0.254613142305587,0.387663916384751,0.322046771268604,0.23985792530728,0.416915332517266,"Men",1,93
"N.DJOKOVIC",0.454688823438141,0.430036469864171,0.479085211877334,0.432908804646123,0.408754072298638,0.456843982939557,0.112103013835442,0.0964888959588272,0.129003991752136,"Men",12,1417
"N.JARRY",0.43312563992479,0.37032880890955,0.494588126360313,0.438770147575866,0.378169810018824,0.49945996438353,0.126044787290374,0.0827868966500362,0.183113902164755,"Men",1,126
"O.OTTE",0.416624117194911,0.350801976960827,0.484584265262561,0.388277072187886,0.326164452724612,0.449462505920078,0.19324157289848,0.136450471645966,0.263532480720299,"Men",1,108
"P.CARRENOBUSTA",0.409129936144856,0.367897581674152,0.450932230254104,0.450428126916102,0.410319844222959,0.491876370321665,0.139133420408727,0.109895944147488,0.171460225847006,"Men",3,419
"P.CUEVAS",0.443707462248347,0.39393863925517,0.496017034787182,0.393245022288894,0.343423401568305,0.442665094892027,0.16192330338862,0.121387916736939,0.209065977058156,"Men",2,254
"P.GOJOWCZYK",0.476495234082644,0.418263056451747,0.532180058602587,0.436327548407246,0.38098690635026,0.493553935089854,0.0868193762460492,0.0544609479159727,0.125821845725726,"Men",1,163
"P.HERBERT",0.420211512413833,0.379616722999903,0.459422284802935,0.40018855885948,0.360482059452353,0.440601345457588,0.178831914347388,0.147156084379727,0.217035938600512,"Men",2,449
"Q.HALYS",0.425135966430349,0.361292551326728,0.487871541881369,0.382423768691507,0.324711627539456,0.445280846408252,0.189321785842351,0.137773424612306,0.258616972527452,"Men",1,131
"R.BAUTISTAAGUT",0.459276476198957,0.410104465771727,0.512541458665037,0.415763376198355,0.365365773742391,0.465499780168655,0.124089024422522,0.0898745988647087,0.16654597785802,"Men",2,250
"R.BERANKIS",0.451261769724288,0.381053909483835,0.530690381919315,0.417771052682453,0.347258244218497,0.489374408617522,0.127213914642124,0.0760568080031019,0.19617823243386,"Men",1,61
"R.CARBALLESBAENA",0.413753830366878,0.365872877689325,0.461041686488506,0.438784690256755,0.392277030764587,0.491478832667655,0.146335476578027,0.110303426602964,0.189457800054125,"Men",1,260
"R.FEDERER",0.477912105049218,0.438471979982166,0.515209688119853,0.443761603871852,0.407040928425104,0.481372122924651,0.0781064136128519,0.0586027585833083,0.101198399896232,"Men",5,566
"R.NADAL",0.44373040387392,0.418696933077184,0.46929271584948,0.40047462321032,0.375772013734346,0.423932125830616,0.155908917160819,0.137914374095504,0.17552602910538,"Men",13,1323
"S.BOLELLI",0.408496255471824,0.344421542506248,0.473876592488861,0.386470941676554,0.326410295453479,0.448987098743175,0.202415209176034,0.14497560505332,0.273829431953169,"Men",1,111
"S.CARUSO",0.381889489780834,0.312857708064,0.446326725808272,0.426243571365797,0.363269259899249,0.492890889003518,0.189548533496438,0.131356494786041,0.263648082061678,"Men",1,101
"S.KORDA",0.491689754483611,0.419543754181831,0.567170649059118,0.355716676157189,0.289687355471047,0.422753015160789,0.150106256968948,0.0950199653630724,0.222686476147163,"Men",1,82
"S.TRAVAGLIA",0.465295162718496,0.39500353879841,0.541074599532368,0.405464766044047,0.334306661032081,0.474261997970662,0.126679457179806,0.0763290644893355,0.190696229580512,"Men",1,70
"S.TSITSIPAS",0.410147853427712,0.383966360494566,0.438363944806584,0.424351000917867,0.396180665728872,0.451394011543021,0.165377472518627,0.145311667253295,0.185510095723079,"Men",9,1198
"S.WAWRINKA",0.447272561773972,0.416908251900852,0.478685684487039,0.453341809061714,0.42302667030986,0.484372796341202,0.0987452741707006,0.0814083957332229,0.117864051577939,"Men",5,887
"T.DANIEL",0.495970434274283,0.422901577777955,0.566197820715095,0.393421301016213,0.32650130375701,0.460377186869387,0.109109438927848,0.0658225438877188,0.167791690480051,"Men",1,96
"T.PAUL",0.40787637902075,0.348709718931798,0.462423439851673,0.468108889244617,0.409026211454156,0.530274086150414,0.1236318936051,0.0823079543978478,0.174338763142812,"Men",1,147
"V.POSPISIL",0.435846457741523,0.376115220263929,0.496345003638426,0.430216576518325,0.375061572286618,0.492513567294989,0.13249255285909,0.0883234917727095,0.1876762510045,"Men",1,140
"Y.HANFMANN",0.442270479154125,0.377918856273053,0.507487519596392,0.439005616107924,0.377962519836407,0.499702941660457,0.117717254734415,0.0745013728652506,0.172285461922898,"Men",1,106
"Y.MADEN",0.35639339511624,0.289220806792529,0.420668217897746,0.441568265544392,0.376206827207775,0.51506351175563,0.197558871420772,0.137830010581551,0.275401611418209,"Men",1,90
"A.ANISIMOVA",0.346960027033523,0.300799651842806,0.395863315029112,0.411008301991958,0.36026798663448,0.46179743596429,0.241085259137067,0.19726222548357,0.286386947877553,"Women",4,319
"A.BARTY",0.446908502080207,0.402272523008469,0.491579523971812,0.40287666533348,0.360972335125611,0.446727834598226,0.149054828044222,0.11861107852448,0.182931810009207,"Women",5,438
"A.BLINKOVA",0.377001563015468,0.304097223708561,0.457012550969716,0.354372386095516,0.283160418054016,0.433712477487727,0.266260914922862,0.193623122397927,0.351397075222043,"Women",1,94
"A.BOGDAN",0.389371314255722,0.312419007697135,0.467763488054245,0.30042708579337,0.23289049845529,0.373319887098377,0.306989912035728,0.230419182527729,0.392155847044809,"Women",1,104
"A.CORNET",0.313167562151333,0.234099510349139,0.400576294196596,0.410515245103021,0.325632347509086,0.500344628054181,0.271743324634422,0.188179888479708,0.370611684745103,"Women",1,74
"A.KONTAVEIT",0.401424953559307,0.323737736255196,0.478636166659198,0.398684599740668,0.328495575144287,0.476384462681802,0.197215732033956,0.135791239142105,0.273369428608031,"Women",1,116
"A.PETKOVIC",0.429767064932273,0.336046278930809,0.530112725039042,0.346077282554242,0.263988620694795,0.434841827464689,0.221520172767512,0.141251311184431,0.3179808168334,"Women",1,59
"A.SABALENKA",0.330346251646511,0.252461663695564,0.416634298058961,0.33650860644994,0.261586675944078,0.421452483210392,0.328983299665925,0.242656447207069,0.425984001200298,"Women",1,81
"A.SASNOVICH",0.289801187898709,0.215757807431742,0.368523606059272,0.322175862497622,0.246927606227147,0.407307290340082,0.383067010300808,0.289282707878288,0.482020217894468,"Women",1,83
"A.SEVASTOVA",0.389387754398993,0.332404038168872,0.445099286609389,0.403187253594821,0.34812140607521,0.460911588406284,0.205985617181737,0.162195509789108,0.257409379715376,"Women",2,226
"A.TOMLJANOVIC",0.378572777524523,0.303594486968825,0.461717098090463,0.373645148753863,0.30234556052052,0.452732587253598,0.244290317606794,0.173347554622255,0.325093004544924,"Women",1,97
"AK.SCHMIEDLOVA",0.484023951232129,0.405707752157021,0.566797532841697,0.321177193170833,0.248649702823624,0.39675686291107,0.192077747379269,0.13111410831383,0.26711089503557,"Women",1,101
"B.PERA",0.32365128147882,0.245560652849692,0.406247958734027,0.386394389138481,0.304559920308346,0.474347536355511,0.288234854788383,0.206503972047829,0.384404595682285,"Women",1,72
"C.GARCIA",0.470083012108283,0.431071584169315,0.510999217834245,0.330376211260806,0.294129507227909,0.367726351044409,0.199408080988646,0.168799284457249,0.231963086105796,"Women",6,574
"C.GAUFF",0.332720594431224,0.256951857646962,0.41549680854011,0.339089994388882,0.265985697562275,0.420840846175926,0.325675355380499,0.239624573797407,0.419608288921725,"Women",1,95
"C.PAQUET",0.322184827292848,0.245008379398486,0.411591824836731,0.312004664817842,0.236374125084751,0.394875547336457,0.360878924035219,0.266709586506317,0.465831221660635,"Women",1,75
"C.WOZNIACKI",0.428693097816431,0.350954224752323,0.508702902721363,0.372548193235153,0.301930208691637,0.446485421604394,0.196105889084112,0.136833530467144,0.271443897320419,"Women",1,105
"D.COLLINS",0.368825087117525,0.324394425721786,0.415532878343113,0.414035903883082,0.369499650711751,0.459650486815526,0.216222934579399,0.178154812206598,0.256570853928872,"Women",3,387
"D.KOVINIC",0.285423796010043,0.20147871761326,0.381113303009264,0.291254913193691,0.205688325382577,0.389943691252604,0.418710549235106,0.300623146958846,0.541962889756615,"Women",1,46
"D.VEKIC",0.405545451730741,0.320103410629891,0.494194320154408,0.381961738274935,0.303248303256705,0.468962299658107,0.20907730127815,0.140828564667218,0.296327880347466,"Women",1,74
"E.ALEXANDROVA",0.364517762461578,0.287565726584449,0.449640268184068,0.41635063896733,0.340375090118571,0.500253855907382,0.214677705845211,0.145864819147889,0.296654996653195,"Women",1,91
"E.MERTENS",0.393716176084546,0.338460752614408,0.452006106270086,0.383928557047184,0.328983239836709,0.440502559025717,0.220243348793209,0.173821172055915,0.274164688732334,"Women",2,232
"E.RODINA",0.35786291981617,0.273397824484927,0.453547583369764,0.341514573858559,0.257084307827351,0.429775205981263,0.298206593233256,0.206580896694714,0.404695061090179,"Women",1,58
"E.RYBAKINA",0.397205668481897,0.323777901740119,0.47031763703562,0.377944220050289,0.310766410848222,0.449636680524874,0.223200835006513,0.159526845266219,0.295160802079318,"Women",1,117
"E.SVITOLINA",0.409001170335739,0.370472993605615,0.449089515101024,0.342230008511251,0.305605422610173,0.379859878733742,0.247883807728836,0.214021875217271,0.285325435712869,"Women",6,548
"F.FERRO",0.409222358372324,0.368653500783826,0.453077253880963,0.418957417995297,0.376561158416646,0.461820850613999,0.170995627727759,0.139912014771294,0.203762039394955,"Women",4,462
"G.MUGURUZA",0.451310376610927,0.405768541083568,0.498391015275338,0.386721268743941,0.342373043594382,0.432414079076742,0.16088889339325,0.128327651532822,0.197563847938235,"Women",5,402
"I.BARA",0.355862137891011,0.2709349560768,0.448103941278648,0.303178872761526,0.224349608499785,0.389570949013296,0.337920685442684,0.242856950644623,0.441481633045786,"Women",1,61
"I.BEGU",0.33822048799917,0.261648982749055,0.421820030839184,0.369873052229286,0.295312780447403,0.451240663922745,0.289064711363522,0.209271318676399,0.378687793158466,"Women",1,89
"I.SWIATEK",0.432691896535887,0.379147264204155,0.48603913029297,0.382124772295945,0.331383132664114,0.434886029818436,0.184020204082629,0.143547445209272,0.231902748689374,"Women",4,271
"J.KONTA",0.382914432514883,0.327510640746372,0.439770441794606,0.475601034523911,0.420883491683156,0.531951013850336,0.140455390136537,0.102290963961736,0.184194382458374,"Women",3,241
"J.LARSSON",0.471095135875095,0.381790585361443,0.562857744794606,0.353932123057835,0.27134987285501,0.440606170905347,0.171274408917957,0.106366128240142,0.259805559237274,"Women",1,66
"J.OSTAPENKO",0.4069807765089,0.323191862355187,0.498577389762051,0.316029661815564,0.240889021484339,0.397184247660075,0.273157111257239,0.1906932558234,0.368395953380308,"Women",1,72
"J.PEGULA",0.421037646805695,0.339496073620879,0.512802386364274,0.289045916496979,0.214331478491403,0.368170424664584,0.284730088633186,0.202029569157591,0.382467480983924,"Women",1,78
"K.AHN",0.365281225053304,0.289672370558739,0.448093930318493,0.294470372775263,0.225112439819353,0.373413401771155,0.335831545760912,0.254450505152801,0.431082720796891,"Women",1,96
"K.BERTENS",0.44285604778397,0.395756851175459,0.493414210048444,0.381155330318766,0.333820605118901,0.428191381854816,0.175483245918236,0.138256541918509,0.215135699720552,"Women",5,333
