"name","median_t","t_quant_2.5","t_quant_97.5","median_wide","wide_quant_2.5","wide_quant_97.5","gender","num_matches"
"M.BERRETTINI",2.13517372613146,1.75468051171439,2.51022168949556,1.30459489045246,0.926358929560782,1.69000694944461,"Men",3
"M.CECCHINATO",2.58554099521864,2.03555917074557,3.16894811783274,1.69707117387791,1.12995364495126,2.25957852078276,"Men",1
"M.CILIC",2.46256599595058,1.90707013992783,3.04340536354084,2.16834656155431,1.62327120167148,2.75777083538501,"Men",1
"M.FUCSOVICS",2.01513736338042,1.65273126595924,2.37622940131964,1.35440250594706,1.00390989333723,1.71057344935641,"Men",2
"M.KLIZAN",2.91592423330003,2.31929283044113,3.53318348894772,2.30003703930721,1.71025585431537,2.91666146900412,"Men",1
"M.MARTERER",2.14403953527739,1.49832405114722,2.78516496154419,1.75864296628182,1.09639655907751,2.40952471132819,"Men",1
"M.MCDONALD",2.36860750465191,1.76728075219265,3.00261137443013,1.69763400711946,1.07634551538186,2.35051795999984,"Men",1
"M.YMER",0.904435667828721,0.408574236026034,1.41280396671381,0.253715323948105,-0.267332084194742,0.763636862740867,"Men",1
"N.DJOKOVIC",2.2687021102989,1.99345417357959,2.55109477015932,1.8910437424865,1.61711706071272,2.16109138138385,"Men",12
"N.JARRY",2.24706003666118,1.69216482778378,2.81594735687543,1.73289288864714,1.17993713450341,2.30224492641471,"Men",1
"O.OTTE",1.98763414989766,1.45597439550553,2.51417447264619,1.21496184032055,0.692769478613277,1.7367995884419,"Men",1
"P.CARRENOBUSTA",2.10766486002409,1.73863412757865,2.48034597928241,1.59191921876748,1.23431090512617,1.96717281904371,"Men",3
"P.CUEVAS",2.12385013520689,1.73186071711203,2.55880196923356,1.3381090885007,0.931330604185516,1.74486809113747,"Men",2
"P.GOJOWCZYK",2.84355450954634,2.3139874376931,3.4307369972987,2.16697325722124,1.6084740548185,2.7655814105728,"Men",1
"P.HERBERT",1.7393089108414,1.39106026522067,2.09205343811993,1.23318763368524,0.893662962657243,1.58352057895523,"Men",2
"Q.HALYS",1.79262758313754,1.31697659916528,2.28946079880907,1.24660589799354,0.754055410696402,1.75152708492576,"Men",1
"R.BAUTISTAAGUT",2.25815118601158,1.84167816562322,2.70066986466794,1.74729427896611,1.31683606896311,2.20322447681413,"Men",2
"R.BERANKIS",2.26418035372167,1.62473086603579,2.937947672253,1.63441749164574,0.985947757908657,2.30173706743348,"Men",1
"R.CARBALLESBAENA",2.26264869559053,1.85318861521955,2.69055507528038,1.63706240819937,1.23923628211144,2.06281378181147,"Men",1
"R.FEDERER",2.77661731587825,2.40698890683123,3.16607917526306,2.27899797360296,1.91777752429213,2.65971595254041,"Men",5
"R.NADAL",1.79045393901266,1.33724597851153,2.2337174294324,1.3728879792545,0.898039965025348,1.82939234299839,"Men",13
"S.BOLELLI",1.7579533076541,1.27860232320985,2.2648889337432,1.07233158824022,0.570696772660395,1.56294834903929,"Men",1
"S.CARUSO",1.69361169980368,1.15035914595063,2.22709364030547,1.26249359281472,0.73292322171548,1.8206126664764,"Men",1
"S.KORDA",2.17302011788157,1.61068119865924,2.76905696180105,1.18948068716095,0.597582897294749,1.78285800281207,"Men",1
"S.TRAVAGLIA",2.38259894675868,1.77401561798621,3.07503223841921,1.63860059750184,1.0224733163522,2.30641432902719,"Men",1
"S.TSITSIPAS",1.97690550245447,1.71308582887623,2.25437794886114,1.40159453827238,1.14408653116783,1.67014279983245,"Men",9
"S.WAWRINKA",2.64218223716464,2.33572906292784,2.96058151145663,2.12340851142228,1.8076960151612,2.45216969568615,"Men",5
"T.DANIEL",2.40266801649855,1.82588234292082,3.02998379191965,1.64606772803953,1.06884875734184,2.28065395540837,"Men",1
"T.PAUL",2.43830366548636,1.90649950135672,2.98901397208338,1.79528413976768,1.27666224562486,2.3398517408012,"Men",1
"V.POSPISIL",2.24013172182843,1.73859093519611,2.78639090870781,1.79873347126456,1.29423254699211,2.34079367445392,"Men",1
"Y.HANFMANN",2.48077927950905,1.91535138183089,3.06078181846787,1.92096073854604,1.36630670722698,2.49560023408168,"Men",1
"Y.MADEN",1.68598010228973,1.14973149063196,2.28276993014947,1.30836853768222,0.767257653774725,1.8691613909338,"Men",1
"A.ANISIMOVA",1.10670062547677,0.71101299504878,1.50797896286665,-0.212450275229658,-0.605825399063477,0.188587477801435,"Women",4
"A.BARTY",1.29679221402521,0.870138422654589,1.72421800029763,0.0388646711048892,-0.385249198557717,0.468649208244871,"Women",5
"A.BLINKOVA",0.989290108133728,0.462405603277053,1.52291313022995,-0.406207126670616,-0.928568184561975,0.133088143586052,"Women",1
"A.BOGDAN",0.379269012046898,-0.118124655638647,0.883298366795073,-0.958832369743873,-1.48382590951407,-0.41033128963598,"Women",1
"A.CORNET",0.77203216676158,0.178515966973503,1.35881291690204,-0.12532278691166,-0.720288658885459,0.439215383193703,"Women",1
"A.KONTAVEIT",1.27241028046706,0.708615165033146,1.81694779943597,-0.141227980045068,-0.689203934929404,0.417725589877445,"Women",1
"A.PETKOVIC",0.777711891879353,0.153175253802597,1.43296514811435,-0.494228153326226,-1.16733216579089,0.221469929928598,"Women",1
"A.SABALENKA",0.811930731336754,0.25094554127847,1.40098319466076,-0.75780300518242,-1.28701628164572,-0.165107034866438,"Women",1
"A.SASNOVICH",-0.0384240310740624,-0.60511501412473,0.529280792057544,-1.11262440194735,-1.66255850374304,-0.55235508754493,"Women",1
"A.SEVASTOVA",1.60731953789125,1.16843259027296,2.07074053816349,-0.0363229531560416,-0.488074701362037,0.400972416084191,"Women",2
"A.TOMLJANOVIC",0.922566432297152,0.373226281028202,1.45593853528941,-0.286166871860747,-0.821927978483046,0.254841215068283,"Women",1
"AK.SCHMIEDLOVA",1.33737990636526,0.80151209993639,1.89891257547105,-0.352850404687396,-0.920022041779639,0.23582589938215,"Women",1
"B.PERA",0.902783240882797,0.173466609229172,1.60945635307292,-0.461668618511779,-1.1643036206011,0.265067077475735,"Women",1
"C.GARCIA",1.40030075418271,1.05900913326712,1.74432713649599,-0.151225451694184,-0.506974859906198,0.195248031289688,"Women",6
"C.GAUFF",0.50049813205486,-0.0294500534911612,1.05903316985266,-0.696230633628693,-1.24235543198368,-0.140352277881777,"Women",1
"C.PAQUET",0.245527153343294,-0.317429907801299,0.790987586551294,-0.86259027750579,-1.41255295805511,-0.294699998487771,"Women",1
"C.WOZNIACKI",0.881197326275735,0.306703683645209,1.44956944746121,-0.234816642789493,-0.814658979919944,0.337243409945304,"Women",1
"D.COLLINS",0.836268282618213,0.453689657972637,1.24031289951918,-0.0701334935469548,-0.465207821795957,0.330253251803853,"Women",3
"D.KOVINIC",0.423283475795412,-0.210161427693659,1.06952641035208,-1.03441495341252,-1.69146392329116,-0.394608953958032,"Women",1
"D.VEKIC",1.18853684576067,0.616520198548644,1.79242869332412,0.0319539567189718,-0.571880202211614,0.654960554166176,"Women",1
"E.ALEXANDROVA",1.13602246431957,0.564471649073139,1.72034077764525,0.0878781882810451,-0.465772845486702,0.642127904571896,"Women",1
"E.MERTENS",1.10824094131279,0.669324486402005,1.55551148571797,-0.329071885564724,-0.789760415391807,0.13214406903262,"Women",2
"E.RODINA",0.887173325480567,0.313641273572828,1.49450566020786,-0.50839807192361,-1.14889489670473,0.0542878004406622,"Women",1
"E.RYBAKINA",1.22044677512558,0.719693769715167,1.75385580708797,-0.249998479050805,-0.784383922846897,0.292873126312226,"Women",1
"E.SVITOLINA",0.85314855983995,0.480998634638467,1.21115708120146,-0.554975909583146,-0.932134151506482,-0.188675449474103,"Women",6
"F.FERRO",1.31003317098234,0.920186901484188,1.71821255741249,0.0423114035616035,-0.359449014410268,0.436545794759189,"Women",4
