"name","median_t","mean_t","sd_t","t_quant_2.5","t_quant_97.5","median_wide","mean_wide","sd_wide","wide_quant_2.5","wide_quant_97.5","median_body","mean_body","sd_body","body_quant_2.5","body_quant_97.5","gender","num_matches","num_serves"
"N.DJOKOVIC",0.454700894801184,0.454517374910093,0.012085600469314,0.431367512193309,0.47779347435866,0.433185622442496,0.433170568866237,0.012114845115564,0.410096469348373,0.456935876277276,0.112250517044216,0.11231205622367,0.00801025293246853,0.0965290389850378,0.128648637433931,"Men",12,1417
"N.JARRY",0.432705530893877,0.432861675653138,0.0317886263081452,0.369656216354824,0.496665291455052,0.438899875398308,0.43890845207947,0.0307949095617221,0.379948673173437,0.502142847428298,0.126704647949033,0.128229872267392,0.0251498566762255,0.0834494731831798,0.182149645834215,"Men",1,126
"O.OTTE",0.416362129652301,0.41651765758372,0.0333304305502019,0.352932317340686,0.483224917394216,0.388523761803339,0.389012547430488,0.0309160183633754,0.329785799082038,0.448137817380711,0.192920795272685,0.194469794985792,0.032492438100753,0.134062010088946,0.262964642001341,"Men",1,108
"P.CARRENOBUSTA",0.409325756109207,0.409546121553945,0.0207555895696304,0.368146153481211,0.450032770289339,0.450159554026339,0.450511484164587,0.0209016494696813,0.409768554012771,0.491802883711795,0.139496795672265,0.139942394281468,0.0154166834122094,0.109963374454693,0.170839911417634,"Men",3,419
"P.CUEVAS",0.44369109988525,0.443883282322399,0.0257388845183535,0.393257097631454,0.495215746284668,0.394155790211833,0.394293163197262,0.0243641145356955,0.347321241593123,0.442777957021697,0.16123181938142,0.161823554480339,0.021781408989329,0.121640830859199,0.20707127787167,"Men",2,254
"P.GOJOWCZYK",0.475100580537321,0.475528416283377,0.0302656442020514,0.41816504441807,0.535972355482537,0.436366405780738,0.43605955130408,0.0292180629069631,0.378581984831693,0.493364293043366,0.0869288942190797,0.0884120324125428,0.0188326546063616,0.0557864468216593,0.129798353166383,"Men",1,163
"P.HERBERT",0.419639179084961,0.419912862365473,0.0203305701286674,0.38089446984897,0.461385126501386,0.400902409466455,0.401188300268241,0.0201888631422997,0.361244802085718,0.441355646529156,0.178906255296964,0.178898837366286,0.0172320714757634,0.14633503117415,0.212709495681757,"Men",2,449
"Q.HALYS",0.4248486575218,0.425260540092452,0.0313199269790441,0.364087452738708,0.487081403654261,0.382910530010578,0.383676897349128,0.030282272804735,0.327248609360926,0.444136943388483,0.189532955417935,0.19106256255842,0.0308382413270227,0.135531303498517,0.254948139018268,"Men",1,131
"R.BAUTISTAAGUT",0.458845611040442,0.458962904191314,0.0256380614484382,0.409237317185772,0.510363340282359,0.416400981223309,0.416615075785932,0.0246700788139092,0.368154721266276,0.464257149404727,0.123436664379135,0.124422020022754,0.0190417029287614,0.0905135096442191,0.164108130544025,"Men",2,250
"R.BERANKIS",0.451835814561137,0.452582834507496,0.0371804730331059,0.381342320128884,0.528131298133945,0.416855794521781,0.416879218052206,0.0365441394791651,0.345709069483204,0.488513405201595,0.127239837446671,0.130537947440298,0.0324323299757296,0.0743529076128647,0.203803743044243,"Men",1,61
